artist,album,track_name,energy,valence,danceability,speechiness,acousticness,popularity,duration
Catfish and the Bottlemen,2all,2all,0.778,0.362,0.396,0.0718,0.00246,46,188.44
Mika Singh,"Mukhda Vekh Ke (From ""De De Pyaar De"")","Mukhda Vekh Ke (From ""De De Pyaar De"")",0.916,0.514,0.746,0.0519,0.165,41,169.612
Chris Abolade,SOS MAYDAY,SOS MAYDAY,0.642,0.281,0.548,0.0641,0.0562,35,190.88
Bring Me The Horizon,amo,wonderful life (feat. Dani Filth),0.964,0.406,0.406,0.206,4.16e-4,59,274.403
Arja Saijonmaa,Mina fyra årstider,Mina fyra årstider,0.732,0.404,0.346,0.0569,0.202,27,187.88
Tzamal,I Koupa Tou Iouda,I Koupa Tou Iouda,0.631,0.582,0.503,0.148,0.578,37,218.864
ACTART,ถ้าบังเอิญ,ถ้าบังเอิญ,0.554,0.615,0.614,0.0352,0.578,41,304.272
Paloma Mami,Don't Talk About Me,Don't Talk About Me,0.691,0.506,0.746,0.0428,0.194,59,197.835
Carlos Rivera,Guerra (+ Sessions Recorded at Abbey Road),Sería Más Fácil,0.523,0.211,0.371,0.0376,0.316,65,217.28
NODE,Samme Vej,Estepona,0.629,0.547,0.755,0.3,0.286,27,175.242
Vald,Ce monde est cruel,NQNTMQMQMB,0.87,0.609,0.45,0.269,0.169,52,209.667
Antony Parviainen,Raskasta Joulua,Sylvian Joululaulu,0.528,0.0973,0.403,0.0299,0.0162,11,378.547
Hardwell,How You Love Me (feat. Conor Maynard & Snoop Dogg),How You Love Me (feat. Conor Maynard & Snoop Dogg),0.723,0.756,0.775,0.0468,0.282,56,194.286
Shlomo Artzi,שפויים,תתארו לכם,0.636,0.55,0.537,0.0331,0.774,50,227.333
Mc Livinho,Se Prepara 2,Se Prepara 2,0.453,0.359,0.648,0.522,0.106,71,147.336
No Te Va Gustar,El Calor Del Pleno Invierno,A las nueve,0.804,0.828,0.625,0.0268,0.233,63,207.533
Pasi ja Anssi,Kakkuu Järvellä,Kakkuu Järvellä,0.743,0.895,0.764,0.0336,0.00411,49,205.932
Rida Radar,Highlife Mode,Highlife Mode,0.793,0.666,0.722,0.109,0.13,23,209.062
Majoe,100% (feat. Silva),100% (feat. Silva),0.613,0.555,0.823,0.281,0.122,55,154.521
Hljómar,100 íslensk jólalög,Jólasveinninn minn,0.642,0.955,0.413,0.0477,0.312,2,124.738
BENIM,FARLIG,FARLIG,0.748,0.511,0.9,0.243,0.425,41,144.618
Felix & Dean,High Pretentions,High Pretentions,0.719,0.512,0.717,0.0309,0.0155,39,158.454
KHANS,SilverBoys,SilverBoys,0.748,0.215,0.56,0.0442,0.0365,44,216.469
Грибы,Тает лёд,Тает лёд,0.384,0.517,0.941,0.16,0.174,60,209.75
Giulia Molino,Va tutto bene,Va tutto bene,0.64,0.253,0.395,0.0943,0.136,30,206.814
Floor 88,Yang Benar,Yang Benar,0.607,0.307,0.478,0.0269,0.00649,54,242.581
Frenna,’t album onderweg naar ‘Het Album’,Ghetto Youth,0.785,0.305,0.823,0.0771,0.00197,25,188.064
Saske,Saskepticism Vol. 1,H2O,0.636,0.219,0.841,0.117,0.493,35,225.455
Anne Linnet,Min Sang,Lille Messias,0.477,0.373,0.563,0.027,0.725,17,303.84
maNga,X,Yad Eller,0.729,0.552,0.57,0.0342,0.0488,59,229.166
Rels B,ORGULLO,ORGULLO,0.737,0.587,0.738,0.114,0.206,50,186.427
Charlie Puth,Cheating on You,Cheating on You,0.535,0.601,0.749,0.0336,0.0131,71,196.607
Red Bull Pilvaker,Falu Végén Kurta Kocsma,Falu Végén Kurta Kocsma,0.687,0.725,0.702,0.146,0.297,42,195.6
Lana Del Rey,Doin' Time,Doin' Time,0.692,0.446,0.621,0.0435,0.336,6,201.997
KYLE,Hey Julie! (feat. Lil Yachty) [Absofacto Remix],Hey Julie! (feat. Lil Yachty),0.505,0.757,0.801,0.293,0.0446,0,156.443
Superfly,0,フレア,0.789,0.541,0.563,0.031,0.131,54,252.573
Jhay Cortez,Easy (Remix),Easy - Remix,0.752,0.435,0.886,0.0949,0.191,72,220.147
Trad.Attack!,Make Your Move,Haned-luiged,0.893,0.274,0.556,0.0362,0.0037200000000000002,24,183.373
Delia,Aruncă-Mă,Aruncă-Mă,0.725,0.289,0.627,0.0601,0.135,42,181.356
Lost Frequencies,Less Is More,Reality (feat. Janieck Devy) - Radio Edit,0.697,0.602,0.714,0.032,0.0197,60,159.48
Eden Hason,כשנגמרת הסופה,כשנגמרת הסופה,0.547,0.578,0.604,0.0308,0.156,50,216.437
Macklemore,GEMINI,Glorious (feat. Skylar Grey),0.794,0.356,0.731,0.0522,0.0323,76,220.454
Jolin Tsai,Ugly Beauty,怪美的,0.625,0.58,0.767,0.18,0.0264,55,182.344
Italian Somali,la Chumerri,la Chumerri,0.739,0.964,0.656,0.377,0.128,41,199.105
MamboLosco,Arte,Hijo De Puta,0.497,0.147,0.882,0.125,0.188,43,120.453
Astrid S,Down Low,Favorite Part Of Me,0.502,0.403,0.598,0.0447,0.862,69,198.391
Idan Raichel,את לא נשארת לבד,את לא נשארת לבד,0.661,0.641,0.744,0.0271,0.609,41,220.089
Wisin & Yandel,La Revolución - Evolution (International Version),Besos Mojados,0.81,0.361,0.646,0.141,0.0959,60,264.68
Sierra,Enfasi,Enfasi,0.683,0.807,0.817,0.0355,0.115,1,204
Taylor Swift,1989 (Deluxe),Shake It Off,0.8,0.942,0.647,0.165,0.0647,77,219.2
David Bisbal,En Tus Planes,Perdón,0.855,0.96,0.673,0.0846,0.291,58,206.497
Tyga,Legendary,Too Many,0.661,0.359,0.794,0.263,0.0488,60,145.293
Crazy Design,Dejen Su Loquera,Dejen Su Loquera,0.874,0.844,0.846,0.141,0.0409,49,177.972
Justinas Jarutis,Baby Blue,Baby Blue,0.453,0.484,0.739,0.0366,0.386,38,192.24
DA Uzi,Architecte,Camila,0.716,0.484,0.75,0.156,0.341,56,161.333
Ken Hirai,Ken Hirai 10th Anniversary Complete Single Collection '95-'05 Utabaka,Pop Star,0.99,0.848,0.641,0.0579,0.0239,38,283.373
Summer Walker,Over It,Over It,0.437,0.455,0.63,0.125,0.231,61,131.107
Kobik,OPUS DEI,BOR Crew,0.38,0.0459,0.772,0.165,0.269,48,204.048
Avicii,The Days / Nights,The Nights,0.835,0.654,0.527,0.0433,0.0166,81,176.658
Jamaika,Nordsiden,Sugo,0.533,0.642,0.642,0.139,0.734,34,180.687
Ngọt,3 (tuyển tập nhạc Ngọt mới trẻ sôi động 2019),(tôi) ĐI TRÚ ĐÔNG,0.502,0.62,0.591,0.0265,0.0767,35,245.82
Samu,Ei kukaan tuu sulta tuntumaan (Vain elämää kausi 10),Ei kukaan tuu sulta tuntumaan - Vain elämää kausi 10,0.714,0.452,0.531,0.0338,0.373,41,212.063
Clementino,Tarantelle,Gandhi,0.692,0.392,0.675,0.314,0.272,49,102.8
Lujipeka,Ahou,Ahou,0.568,0.297,0.685,0.111,0.479,51,156.387
Mahmut Orhan,Schhh,Schhh,0.712,0.215,0.557,0.0358,0.328,56,185.69
Dolu Kadehi Ters Tut,Akustikhane Sessions,Yapma N'olursun,0.52,0.625,0.654,0.0439,0.35,58,183.5
BORCREW,BORCREW ALBUM,Gniazdo,0.56,0.395,0.594,0.429,0.408,40,283.52
Caza,SLIDE,SLIDE,0.753,0.724,0.747,0.0504,0.0388,55,112.864
Guru Randhawa,High Rated Gabru - Guru Randhawa,"Daaru Wargi (From ""Why Cheat India"")",0.827,0.609,0.812,0.0815,0.0656,35,201.542
ChildsPlay,Juppig,Juppig,0.664,0.421,0.887,0.16,0.112,53,155.613
Ash King,"Nazar Na Lag Jaaye (From ""Stree"")","Nazar Na Lag Jaaye (From ""Stree"")",0.622,0.672,0.527,0.0842,0.7,58,206.175
DMS,Prepáčte,Stále Málo,0.687,0.536,0.695,0.311,0.277,40,213.673
CA$HANOVA BULHAR,rap disco revoluce,Henny,0.524,0.302,0.718,0.492,0.115,45,195.669
SIXN,Medisin,Medisin,0.803,0.316,0.559,0.107,0.00719,32,135.115
Sebastian Yatra,MANTRA,Como Mirarte,0.354,0.207,0.347,0.0343,0.709,70,228.08
Los Palmeras,Voló La Paloma/Un Toque Diferente,Olvídala,0.686,0.517,0.77,0.0455,0.308,63,290.12
Eyal Golan,הפוך מהיקום,הפוך מהיקום,0.723,0.695,0.754,0.037,0.264,35,211.456
Sami,Nafrica,Mary Jane,0.749,0.672,0.683,0.166,0.503,54,137
Kontra K,Sie wollten Wasser doch kriegen Benzin,Blei (feat. Veysel),0.668,0.537,0.798,0.271,0.13,67,170.624
YOUNGOHM,คนตาย,คนตาย,0.529,0.223,0.783,0.11,0.554,48,220.8
King Princess,1950,1950,0.535,0.269,0.6,0.107,0.648,78,225.133
